StringIndex,NumberIndex
동백양과점 익선점 익선동,204
예빈당 성수동2가,205
카페노티드 안국점 재동,206
메리하하 화곡동,207
일쩜오플로어커피 연남동,208
레이디언트 중곡동,209
어리틀케틀 누하동,210
헤르츠커피로스팅 중곡동,211
민트하임 홍대점 서교동,212
유니크스윗 상수동,213
소프트레시피 방배동,214
지유가오카핫쵸메 안국동,215
카페죠꽁드 삼청동,216
티테라피행랑 안국동,217
메리그린 명륜4가,218
무진장 이태원동,219
헤미안커피바 이태원동,220
스타벅스 송파방이DT점 방이동,221
투썸플레이스 아차산역점 능동,222
할리스커피 잠실광고회관점 신천동,223
해피트리카페 해피트리 방이동,224
스타벅스 동부이촌동점 이촌동,225
스타벅스 양재역점 양재동,226
아티제동부이촌점 동부이촌점 이촌동,227
청년다방 마곡나루역점 마곡동,228
겨울이머무는집 서교동,229
금옥당 서교동,230
듀이 상암동,231
세잔 망원동,232
씨스터브레드 연남동,233
카페페퍼 송파동,234
LTP한남 한남동,235
어나더룸 연남동,236
용파이마켓 역삼동,237
카페보니또 오금점 오금동,238
커피에반하다 송파명준점 마천동,239
커피온리 방이점 방이동,240
교토마블 용산동5가,241
미완성식탁 망원동,242
홍팥집 양재점 도곡동,243
훈고링고브레드 성산동,244
만랩커피 창동역점 창동,245
빽다방 도봉구민회관점 쌍문동,246
스타벅스광운대점 광운대점 월계동,247
고미푸딩 망원동,248
라헬의부엌 홍대점 서교동,249
프롬카페 신림동,250
내자상회 내자동,251
비담 가회동,252
소진담 신사동,253
매스커피 안국역점 계동,254
몽루 효창동,255
카페뮤 동소문동3가,256
커피매터스 삼선동4가,257
커피브론즈 안국동,258
라미스콘 봉천동,259
리버웨이 합정동,260
밀크홀1937 종로점 종로2가,261
이디야커피 서교동점 서교동,262
폴바셋 교대역점 서초동,263
할리스 응암점 신사동,264
할리스커피 마곡나인스퀘어점 마곡동,265
할리스커피 응암역점 신사동,266
홍콩다방 충정로역점 충정로3가,267
갈십리 행당동,268
레이어드 재동,269
레프트커피 회기동,270
새검정 합정동,271
스타벅스 회기역사거리점 회기동,272
알로카시아인더테라스 경희대점 회기동,273
오우야에스프레소바 합정동,274
정이정 종암동,275
포프트커피 영등포동1가,276
듀레스트 봉천동,277
마크레인커피 신사동,278
스타벅스 관악서울대입구R점 봉천동,279
M1CT 망원동,280
벤치커피스튜디오 대현동,281
빽다방 신촌역점 창천동,282
스타벅스 동대입구역점 장충동1가,283
스타벅스 신촌역점 창천동,284
어나더쉐어 연남동,285
엔니드커피 노고산동,286
챔프커피 한남동,287
커피스니퍼 북창동,288
트래버틴 한강로3가,289
에프비커피로스터스 양평동4가,290
카페설리번 당산점 당산동6가,291
희희 당산동6가,292
데일리 스터디카페신대방삼거리점 상도동,293
위퍼스트스터디카페 노량진점 노량진동,294
이디야커피 대림1동점 대림동,295
투썸플레이스 구로디지탈역깔깔거리점 구로동,296
그라데이션커피 성수동1가,297
밀로커피 동교동,298
밀로커피로스터스 동교동,299
프롤라 성수동2가,300
라뿔 송파동,301
오후의파이 석촌동,302
전환점 삼전동,303
온도차 녹번동,304
차차티클럽 창신동,305
소울메이트 연남동,306
스플래쉬블랙 신사동,307
위아소울메이트 연남동,308
채널오렌지 연남동,309
스타벅스 공릉DT점 공릉동,310
스타벅스노원케이티점 노원케이티점 상계동,311
커피는기억의끌림 월계동,312
테이큰 화양동,313
테이큰커피 화양동,314
투썸플레이스 상계사거리점 상계동,315
팔공티 광운대점 월계동,316
넉넉커피 장위동,317
닥터로빈 이대점 대현동,318
돌담커피 서교동,319
만랩커피홈플러스 월곡점 하월곡동,320
지유명차 교대점 서초동,321
하삼동커피 미아동,322
더썬카페 가양동,323
커스텀커피 마곡점 마곡동,324
투썸플레이스 마곡점 마곡동,325
산맥로스터리 북가좌동,326
클래직 인현동2가,327
놀숲 플러스홍대점 서교동,328
놀숲플러스 홍대점 서교동,329
호이차 연희동,330
물오름달하루 신대방동,331
세븐다이스보드게임 미아동,332
초록상어 상도동,333
메가엠지씨커피 신목점 목동,334
수카페&쿠킹스튜디오 창천동,335
스타벅스 목동5단지점 목동,336
아펜즈커피 서초교대점 서초동,337
요거프레소 목동1단지점 목동,338
요거프레소 신목동점 목동,339
스타벅스 올림픽대교북단점 구의동,340
