StringIndex,NumberIndex
블리스냅 방화동,207
에이아이디카페롯데월드몰 신천동,208
카페타치 성수동1가,209
당인리책발전소 서교동,210
리사르커피 신당동,211
블루보틀커피코리아삼청 소격동,212
컴폴커피 번동,213
크림시크 명동1가,214
프로토콜 연희동,215
히도커피 성북동1가,216
내자상회 내자동,217
동작카페 노량진동,218
바이트앤십 냉천동,219
서울커피 여의도동,220
소장식물전 공항동,221
스프레드 신대방동,222
시너리 이수점 사당동,223
아우프글렛 한남점 한남동,224
어반밀커피 공평동,225
유어보울 영등포동4가,226
크로닉 당산동4가,227
홍팥집 양재점 도곡동,228
디벙크 합정동,229
소울 창성동,230
아키비스트 효자동,231
애틱인서울하우스 목동,232
앤드그레이 양평동3가,233
앤티크거피 당산동4가,234
커피앤시가렛 서소문동,235
가배도 삼청점 소격동,236
블루마일스커피로스터즈 공릉동,237
송스키친 경복궁점 누하동,238
시프스 공릉동,239
오누이 공릉동,240
지유가오카핫쵸메 안국동,241
하이버 누상동,242
몰또이탈리안에스프레소바 명동1가,243
아이사구아 가회동,244
언커먼그라운드 성수동2가,245
오프커피 성수동2가,246
온화 성수점 성수동2가,247
토비커피 방배동,248
에고 서교동,249
테이크온미 창동점 창동,250
폴바셋 서소문점 서소문동,251
딥다이브 방배동,252
로지커피 원효로1가,253
먼셀커피 반포동,254
아우프글렛 2호점 연남동,255
앳더블랑 흑석동,256
오리지널팬케이크하우스이태원점 이태원점 이태원동,257
라그랑자트 청담동,258
르솔레이 연희동,259
소진담 신사동,260
빈트리 월계동,261
스타벅스광운대점 광운대점 월계동,262
이디야커피 석계중앙점 석관동,263
클라우드9 월계동,264
호호커피집 월계동,265
ATOZCAFE 창천동,266
데칸트 청담동,267
비바쌀롱 망원동,268
유들렌 서교동,269
익선주택 익선동,270
공차 대치은마사거리점 대치동,271
빽다방서초우성점 서초우성점 서초동,272
섹터커피바 필동2가,273
가배두림 합정동,274
꼬모레커피 동교동,275
메가커피 합정역점 합정동,276
반지하커피 서교동,277
설빙 대학로점 동숭동,278
페이페이커피 영등포동7가,279
합정빵다방 합정동,280
다과상사 효창동,281
몽떼 원효로1가,282
용호야채곱창 용문동,283
카페안 원효로2가,284
피피커피 망원동,285
소울메이트 연남동,286
위아소울메이트 연남동,287
챙스베리 연희동,288
카페 다이닝 응암동,289
카페미카야 서교동,290
하이 앤드라이 성수동2가,291
낙랑파라 동교동,292
목화씨라운지 연남점 연남동,293
"어느,예쁜날 연남동",294
카페스콘 연남동,295
콘웰 망원동,296
콩카페 연남점 연남동,297
블루보틀커피코리아역삼 역삼동,298
스타벅스 대치역점 대치동,299
스타벅스 도곡역점 대치동,300
아티제 신용산역점 한강로2가,301
주커피개포점 개포점 개포동,302
사생활 신림동,303
투썸플레이스 보라매삼성쉐르빌점 신대방동,304
랑데자뷰 건대점 화양동,305
르쉬드서울 방이동,306
바이칼리아 신사동,307
브루클린커피 내발산동,308
꾸까 광화문점 사간동,309
디저트39 문정법조타운점 문정동,310
모리티아 성수동2가,311
산다미아노 정동,312
스타벅스 순화동에이스점 순화동,313
스타벅스 어린이대공원역점 군자동,314
커피빈 코리아소공동삼화빌딩점 소공동,315
커피빈 코리아종로관철동점 관철동,316
커피사피엔스프루지오 시티점 상암동,317
테르프로미즈 합정동,318
투썸플레이스 강남삼성로점 삼성동,319
동백양과점 익선점 익선동,320
두잇스터디카페 명일점 명일동,321
빌리엔젤 명동점 명동1가,322
엑스이스케이프 홍대놀이터점 서교동,323
엑스이스케이프 홍대점 서교동,324
청수당 익선동,325
카페노티드 잠실점 송파동,326
브런치카페미뇽 제기동,327
익골 신설동,328
키라쿠 제기동,329
키이스케이프 홍대점 서교동,330
포인트나인 역삼동,331
헤이피 제기동,332
고디바롯데잠실 에비뉴엘점 신천동,333
메가엠지씨커피 신정네거리점 신정동,334
스타벅스홍대삼거리점 홍대삼거리점 상수동,335
액트커피 방배동,336
카페 밤비2호점 망원동,337
투썸플레이스 홍대걷고싶은거리점 동교동,338
커피벌스데이 서교동,339
턴다운서비스 연남동,340
플루프 연남동,341
공차 석촌역점 송파동,342
매머드익스프레스 방이점 방이동,343
빽다방 방이역코오롱점 방이동,344
스타벅스 송파나루역DT점 송파동,345
과일프레소 사당동,346
다올상점 봉천동,347
디어다온 동교동,348
로코민트 방배동,349
오후홍콩 대학로점 명륜4가,350
온실커피 방배동,351
저스트로맨틱 신림동,352
투썸플레이스사당역 남현동,353
헤르비폴즈 방배동,354
메가엠지씨커피 경복궁역점 체부동,355
스타벅스 숭례문북창점 남대문로4가,356
스타벅스 을지로입구역점 을지로2가,357
스타벅스 종로관철점 관철동,358
레이디언트 중곡동,359
슈퍼말차 성수점 성수동1가,360
스타벅스 군자역점 군자동,361
스테이어와일 구의동,362
이층커피 중화동,363
더블플랫 양평동4가,364
뎁스커피 화곡동,365
선유슬로우 양평동4가,366
세컨드커피 와룡동,367
아러바우트 한남 한남동,368
36.5도여름동쪽점 동쪽점 서교동,369
디저트하우스 갈현동,370
메가엠지씨커피 가재울뉴타운점 남가좌동,371
메가엠지씨커피 대흥역점 대흥동,372
메가엠지씨커피 역말사거리점 역촌동,373
설빙 수락산역점 상계동,374
스타벅스 연신내역사거리점 불광동,375
엔쓰커피 갈현동,376
이디야커피 북가좌동점 북가좌동,377
이디야커피 신촌역점 창천동,378
이디야커피 아현역점 북아현동,379
이디야커피 어린이대공원역점 화양동,380
이디야커피 홍은사거리점 홍은동,381
지브릭커피 진관동,382
카페게이트 건대점 화양동,383
커피사피엔스 연신내역점 갈현동,384
커피에반하다길동역점 길동역점 길동,385
컴포즈커피 신풍역점 신길동,386
컴포즈커피 은평갈현점 갈현동,387
투썸플레이스 신촌기차역점 대현동,388
감꽃당 익선동,389
강정이넘치는집 청담점 청담동,390
구테로이테 논현동,391
빈스브라운 중곡동,392
사푼사푼 강남점 서초동,393
셀렉토커피 홍제점 홍제동,394
제이제곱 미아동,395
카페윤재 길음동,396
커피리브레 연남점 연남동,397
르몽블랑 용산동2가,398
오너스 역삼동,399
준바이누아네 신수동,400
폰드커피 서교동,401
할리스커피 구로디지털뉴스테이점 대림동,402
빽다방 노원문화의거리점 상계동,403
빽다방노원역북부점 노원역북부점 상계동,404
와플대학노원역캠퍼스 노원역캠퍼스 상계동,405
원형들 충무로4가,406
공차 상일동역점 고덕동,407
모츠커피 화양동,408
빈브라더스카페 합정동,409
안다즈커피 구의동,410
오프셋커피 신당동,411
토즈모임센터 선릉점 대치동,412
3F로비 한강로3가,413
상왕제약 하왕십리동,414
소피 공덕동,415
카페58.4 성북동,416
카페로비 한강로3가,417
커피그래 신당동,418
클로드커피 대흥동,419
묘사서울 성수동1가,420
빽다방 대치동학원가점 대치동,421
빽다방 선정릉역점 역삼동,422
위넌스터디카페 강남구청역점 삼성동,423
팔공티대치학원가점 대치동,424
메가엠지씨커피 수유점 수유동,425
스타벅스 강북구청사거리점 수유동,426
스타벅스성신여대정문 동선동2가,427
카페띠아모 쌍문동점 창동,428
텀브커피 쌍문점 쌍문동,429
래뮤 성수동1가,430
이월로스터스 성수점 성수동1가,431
카페 대즐링 제기동,432
카페 캔두잇고 당산동4가,433
홀트 원효로2가,434
꽁상뜨레 삼선동3가,435
더스크블루 당산동4가,436
더현대서울올댓커피 여의도동,437
드로우에스프레소바 중림동,438
디저트스토머치 연희동,439
로스디아스 동선동2가,440
바캉스커피 다동,441
비담 가회동,442
빽다방 미아역점 미아동,443
서화커피 명륜4가,444
어라운드데이 성수동1가,445
카페어니언미아점 어니언미아점 미아동,446
티틸 수유동,447
혜민당 을지로2가,448
구욱희씨 성수동1가,449
꼬르소산도 망원동,450
라보아르 연남동,451
빙하기 망원동,452
센터커피 서울숲점 성수동1가,453
스타벅스 홍대역점 동교동,454
아너 공릉동,455
제비꽃다방 부암동,456
카페 마가렛 연남동,457
카페울티모 울티모 문정동,458
홍차가게청담 삼성동,459
YM에스프레소룸 진관동,460
도깨비코티지 후암동,461
비엔나커피하우스 송파사거리점 석촌동,462
스타벅스 송파개롱역점 가락동,463
스타벅스 송파사거리점 송파동,464
해례커피 갈현동,465
허밍벨라 서교동,466
구움블루스 목동,467
띠옷 연남동,468
카페구월 동선동2가,469
스므으커피 종로2가,470
스타벅스 신세계강남점 반포동,471
이디야커피 답십리사거리점 답십리동,472
프레스커피 송파동,473
북카페타셴 동숭동,474
설빙신촌점 신촌점 창천동,475
스튜디오웝 대신동,476
엣모스피어 망원동,477
투썸플레이스 신촌대로점 노고산동,478
갤러리힐링카페 공릉동,479
업.사이드커피 성수동1가,480
업사이드커피 뚝섬점 성수동1가,481
엘엘엘커피 석촌동,482
피카 안암동5가,483
빽다방 양재시민의숲역 양재동,484
스타벅스서초파라곤점 서초파라곤점 서초동,485
청년다방 낙성대점 봉천동,486
태양커피 사당점 방배동,487
할리스커피 신림점 신림동,488
메가엠지씨커피가재울북가좌초교점 북가좌동,489
바우리 합정동,490
유목커피바 동선동1가,491
이디야커피 이화여대점 대현동,492
골드버튼커피 남영동,493
스타벅스올림픽공원남문점 올림픽공원남문점 방이동,494
스타벅스올림픽평화의문점 올림픽평화의문점 방이동,495
예카페 봉익동,496
오브렛 을지로3가,497
카페선셋 산림동,498
커피리브레 명동성당점 명동2가,499
커피에꽃을담다 마곡동,500
탐앤탐 피카디리점 돈의동,501
태극당 인사점 관훈동,502
고양이당 망원동,503
로우키 송정동,504
바즈 성수동2가,505
스위트레코드 화양동,506
에그마카슈 건대점 화양동,507
와플칸 세종대점 화양동,508
잎차 용산동2가,509
친구네과자집 자양동,510
투고오알 송정동,511
펑키커피 성수동2가,512
스타벅스 목동8단지점 신정동,513
스타벅스 삼성역섬유센터R점 대치동,514
스타벅스 선릉역점 역삼동,515
스타벅스 현대목동점 목동,516
스타벅스오목교역점 오목교역점 목동,517
반지카페8그램 역삼동,518
베질루르선셋에비뉴 월드타워점 신천동,519
카펜크레 성수동2가,520
큐브이스케이프 잠실점 잠실동,521
고카페 용산아이파크몰점 한강로3가,522
디퍼카페테리아 체부동,523
샌드커피논탄토 동교동,524
커피앤스쿱 성산동,525
크림슨젤라또 신사동,526
스타벅스 망원역점 서교동,527
스타벅스 사당로데오점 방배동,528
스타벅스 서초우성사거리점 서초동,529
스타벅스 이마빌딩점 수송동,530
아야커피 역삼동,531
