StringIndex,NumberIndex
와플대학 명보사거리캠퍼스 초동,204
탐앤탐스문정로데오점 문정로데오점 문정동,205
메가커피 연희점 연희동,206
스타벅스 연희동점 연희동,207
카인드맨커피 연희동,208
투썸플레이스 화곡역점 화곡동,209
피클피클 용산동2가,210
눈타이드 청량리동,211
카페마마스잠실점 마마스잠실점 신천동,212
커피덕 동교동,213
파티셔리마루 서교동,214
메가엠지씨커피 신촌점 창천동,215
유어홈 문래동2가,216
유원섬커피 창천동,217
카페1953위드오드리 1953위드오드리 문래동2가,218
카페온도 연남동,219
루시카토 용산아이파크몰점 한강로3가,220
어느날오늘 상봉동,221
오르다빛 장안동,222
온니당 장안동,223
커피홀 촬영소사거리점 장안동,224
델리카 이태원동,225
땡스오트 연남동,226
몽소베이커리앤카페 노량진점 노량진동,227
스타벅스 영등포시장교차로점 영등포동6가,228
LTP한남 한남동,229
더피터커피 흥인동,230
아야커피 역삼동,231
고디바삼청점 삼청점 삼청동,232
스타벅스 강남구청역점 논현동,233
스타벅스 북촌로점 계동,234
애드커피 주교동,235
테라로사커피 광화문점 중학동,236
폴바셋 광화문점 중학동,237
폴바셋 종각역점 공평동,238
수애뇨339 평창동,239
체다앤올리 성수동1가,240
카페디키미 평창동,241
카페르세 상암동,242
마이머랭 쌍문동,243
스타벅스 쌍문역점 창동,244
키시미뇽 서교동,245
P23 명일동,246
메가엠지씨커피 고덕역점 명일동,247
메가엠지씨커피 길동역점 길동,248
메가커피 아차산역점 중곡동,249
블루보틀커피코리아역삼 역삼동,250
스타벅스 굽은다리역점 명일동,251
스타벅스 명일이마트점 명일동,252
커피나와 구의동,253
커피명가 안암점 안암동4가,254
컴포즈커피 명일한영외고점 명일동,255
할리스커피 국기원점 역삼동,256
할리스커피강남역점 강남역점 역삼동,257
헤엄 천호동,258
파인콘 화동,259
AMIGGA 염리동,260
달다어요 신림동,261
마치마치 가로수길점 신사동,262
"문득,낙성 봉천동",263
쁘띠크 봉천동,264
스타벅스 보라매대교점 봉천동,265
스타벅스신림점 신림점 신림동,266
쏭카페 양재동,267
요샌 봉천동,268
폴바셋 롯데백화점관악점 봉천동,269
NAMU 합정동,270
용다방 서교동,271
타이거슈가 홍대본점 서교동,272
르솔레이 연희동,273
새들러하우스 신사동,274
올웨더 연희동,275
동백양과점 익선점 익선동,276
예빈당 성수동2가,277
카페노티드 안국점 재동,278
도로도로커피숍 노량진동,279
샌드카베 성수동1가,280
로기스커피 면목동,281
커피나인 답십리동,282
메리하하 화곡동,283
일쩜오플로어커피 연남동,284
레이디언트 중곡동,285
어리틀케틀 누하동,286
헤르츠커피로스팅 중곡동,287
청수당 익선동,288
투썸플레이스 수유사거리점 수유동,289
민트하임 홍대점 서교동,290
유니크스윗 상수동,291
메가엠지씨커피 성북구청점 삼선동5가,292
스타벅스 양재역점 양재동,293
소프트레시피 방배동,294
지유가오카핫쵸메 안국동,295
카페죠꽁드 삼청동,296
ATOZCAFE 창천동,297
스타벅스 선유도역점 양평동4가,298
메리그린 명륜4가,299
무진장 이태원동,300
헤미안커피바 이태원동,301
스타벅스 송파방이DT점 방이동,302
투썸플레이스 아차산역점 능동,303
할리스커피 잠실광고회관점 신천동,304
해피트리카페 해피트리 방이동,305
레귤러서비스커피숍 망원동,306
스플릿세컨드 연희동,307
비엔나커피하우스 송파사거리점 석촌동,308
투썸플레이스 용산아이파크몰점 한강로3가,309
스타벅스 동부이촌동점 이촌동,310
아티제동부이촌점 동부이촌점 이촌동,311
청년다방 마곡나루역점 마곡동,312
미스터빈커피 하월곡동,313
빽다방 월곡역점 하월곡동,314
모터라이프 평창동,315
블랙빈스 응봉동,316
카페수달 안국동,317
헤이피 제기동,318
겨울이머무는집 서교동,319
금옥당 서교동,320
듀이 상암동,321
세잔 망원동,322
씨스터브레드 연남동,323
카페페퍼 송파동,324
어나더룸 연남동,325
용파이마켓 역삼동,326
카페보니또 오금점 오금동,327
커피에반하다 송파명준점 마천동,328
커피온리 방이점 방이동,329
교토마블 용산동5가,330
미완성식탁 망원동,331
홍팥집 양재점 도곡동,332
훈고링고브레드 성산동,333
홀트 원효로2가,334
빽다방 도봉구민회관점 쌍문동,335
스타벅스광운대점 광운대점 월계동,336
고미푸딩 망원동,337
라헬의부엌 홍대점 서교동,338
프롬카페 신림동,339
스타벅스서울중앙우체국점 서울중앙우체국점 충무로1가,340
스타벅스신세계본점 신세계본점 충무로1가,341
내자상회 내자동,342
비담 가회동,343
소진담 신사동,344
매스커피 안국역점 계동,345
몽루 효창동,346
카페뮤 동소문동3가,347
커피매터스 삼선동4가,348
커피브론즈 안국동,349
리버웨이 합정동,350
밀크홀1937 종로점 종로2가,351
이디야커피 서교동점 서교동,352
폴바셋 교대역점 서초동,353
할리스 응암점 신사동,354
할리스커피 마곡나인스퀘어점 마곡동,355
할리스커피 응암역점 신사동,356
홍콩다방 충정로역점 충정로3가,357
갈십리 행당동,358
레이어드 재동,359
레프트커피 회기동,360
새검정 합정동,361
스타벅스 회기역사거리점 회기동,362
알로카시아인더테라스 경희대점 회기동,363
오우야에스프레소바 합정동,364
정이정 종암동,365
포프트커피 영등포동1가,366
마카롱걸 성내동,367
안다르커피 창천동,368
슬리핑피쉬 봉천동,369
카페폴 봉천동,370
듀레스트 봉천동,371
마크레인커피 신사동,372
스타벅스 관악서울대입구R점 봉천동,373
디저트뒤쥬르 상계동,374
카페D55 팔판동,375
M1CT 망원동,376
벤치커피스튜디오 대현동,377
빽다방 신촌역점 창천동,378
스타벅스 동대입구역점 장충동1가,379
스타벅스 신촌역점 창천동,380
어나더쉐어 연남동,381
엔니드커피 노고산동,382
챔프커피 한남동,383
커피스니퍼 북창동,384
에프비커피로스터스 양평동4가,385
카페설리번 당산점 당산동6가,386
희희 당산동6가,387
스미다 중곡동,388
카페아사 응암동,389
데일리 스터디카페신대방삼거리점 상도동,390
위퍼스트스터디카페 노량진점 노량진동,391
이디야커피 대림1동점 대림동,392
투썸플레이스 구로디지탈역깔깔거리점 구로동,393
미소제과 양재동,394
옐로우버터드림 봉천동,395
카페 인러쉬하월곡점 하월곡동,396
카페구월 동선동2가,397
그라데이션커피 성수동1가,398
밀로커피 동교동,399
밀로커피로스터스 동교동,400
프롤라 성수동2가,401
디디카페 정릉동,402
스타벅스미아역점 미아역점 미아동,403
모도크로플 이대점 대현동,404
카페 도르래 삼성동,405
라뿔 송파동,406
오후의파이 석촌동,407
전환점 삼전동,408
온도차 녹번동,409
차차티클럽 창신동,410
소울메이트 연남동,411
스플래쉬블랙 신사동,412
위아소울메이트 연남동,413
채널오렌지 연남동,414
모어쿠키 연남동,415
캐비넷클럽 연희동,416
스타벅스 공릉DT점 공릉동,417
스타벅스노원케이티점 노원케이티점 상계동,418
커피는기억의끌림 월계동,419
테이큰 화양동,420
테이큰커피 화양동,421
