search_name,address,road_address,near_station,station_distance,total_review,"""커피가 맛있어요""","""친절해요""","""음료가 맛있어요""","""디저트가 맛있어요""","""매장이 청결해요""","""대화하기 좋아요""","""집중하기 좋아요""","""인테리어가 멋져요""","""좌석이 편해요""","""화장실이 깨끗해요""","""특별한 메뉴가 있어요""","""가성비가 좋아요""","""뷰가 좋아요""","""주차하기 편해요""","""사진이 잘 나와요""",cafe
인서트카페,화양동,서울 광진구 군자로7길 25,7어린이대공원역,526.0,18,7.0,8.0,4.0,7.0,2.0,4.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,인서트카페 인서트 화양동
뷰클런즈,송파동,서울 송파구 백제고분로43길 10 1층,9송파나루역,393.0,2050,0.0,2.0,4.0,9.0,2.0,0.0,7.0,9.0,1.0,8.0,2.0,25.0,6.0,4.0,2.0,뷰클랜드 송파동
모놀로그하우스,후암동,,,,16,11.0,4.0,5.0,3.0,3.0,3.0,5.0,8.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0,더모놀로그하우스 후암동
이디야커피 아현역점,북아현동,서울 서대문구 신촌로35길 10 e편한세상신촌 4단지 상가 1층 110호,2아현역,175.0,391,8.0,84.0,62.0,37.0,44.0,39.0,27.0,7.0,23.0,6.0,7.0,64.0,1.0,18.0,4.0,이디야커피 아현역점 북아현동
이디야 등촌중앙점,등촌동,,,,253,4.0,42.0,62.0,27.0,38.0,21.0,23.0,15.0,18.0,7.0,5.0,40.0,1.0,14.0,6.0,이디야커피 등촌중앙점 등촌동
이디야커피 강서가양동점,가양동,서울 강서구 강서로 511 한림타운 102호,9양천향교역,253.0,154,79.0,39.0,42.0,26.0,25.0,27.0,19.0,12.0,17.0,4.0,6.0,27.0,3.0,3.0,0.0,이디야커피 강서가양동점 가양동
그레이트커피 서울숲점,성수동1가,서울 성동구 서울숲2길 6 1층,2뚝섬역,609.0,97,57.0,18.0,14.0,24.0,11.0,13.0,4.0,19.0,4.0,4.0,4.0,4.0,17.0,0.0,16.0,그레이트커피 성수동1가
에그마카슈 성수,성수동1가,서울 성동구 상원6나길 14 101호,2뚝섬역,320.0,27,6.0,8.0,5.0,24.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,에그마카슈 성수점 성수동1가
투썸플레이스 염창역점,목동,서울 양천구 공항대로 630 1층,9염창역,12.0,399,0.0,52.0,57.0,1.0,50.0,42.0,12.0,17.0,24.0,7.0,20.0,15.0,1.0,9.0,7.0,투썸플레이스 염창역점 목동
커피그래,신당동,서울 중구 동호로 204 1층,36약수역,106.0,366,3.0,0.0,0.0,7.0,70.0,55.0,11.0,5.0,6.0,1.0,63.0,9.0,4.0,6.0,26.0,커피그래 신당동
커피온리 종로3가점,종로3가,서울 종로구 수표로 98,135종로3가역,193.0,597,0.0,3.0,58.0,17.0,11.0,5.0,4.0,6.0,3.0,6.0,7.0,6.0,4.0,0.0,2.0,커피온리 종로3가점 종로3가
커피쿡 구로디지털점,구로동,서울 구로구 디지털로26길 5 지하1층 커피쿡,7남구로역,743.0,92,50.0,27.0,22.0,11.0,12.0,9.0,3.0,16.0,5.0,1.0,5.0,17.0,1.0,3.0,6.0,커피쿡 구로디지털점 구로동
로이터 커피 셸터,필동3가,서울 중구 필동로 53 라비두스 별관 3층/루프탑,34충무로역,588.0,23,11.0,4.0,3.0,5.0,3.0,4.0,0.0,4.0,2.0,1.0,0.0,1.0,11.0,3.0,8.0,로이터커피셸터 필동3가
업사이드커피 뚝섬점,성수동1가,서울 성동구 왕십리로14길 19-1 1층 업사이드커피,2뚝섬역,154.0,136,1.0,50.0,47.0,18.0,25.0,10.0,2.0,11.0,2.0,0.0,21.0,9.0,0.0,0.0,7.0,업사이드커피 뚝섬점 성수동1가
