search_name,address,road_address,near_station,station_distance,total_review,"""커피가 맛있어요""","""친절해요""","""음료가 맛있어요""","""디저트가 맛있어요""","""매장이 청결해요""","""대화하기 좋아요""","""집중하기 좋아요""","""인테리어가 멋져요""","""좌석이 편해요""","""화장실이 깨끗해요""","""특별한 메뉴가 있어요""","""가성비가 좋아요""","""뷰가 좋아요""","""주차하기 편해요""","""사진이 잘 나와요""",cafe
버블베어,방화동,서울 강서구 금낭화로 167 방화8단지개화아파트,5방화역,427.0,18,7.0,5.0,5.0,6.0,5.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,버블베어 방화동
커피빈 낙성대역점,봉천동,"서울 관악구 남부순환로 1909 1,2층",2낙성대역,119.0,284,7.0,56.0,74.0,37.0,40.0,21.0,48.0,8.0,33.0,2.0,2.0,8.0,14.0,0.0,1.0,커피빈코리아낙성대역점 코리아낙성대역점 봉천동
노란꼬무줄 선릉본점,대치동,서울 강남구 선릉로 424 1층5호 노란꼬무줄,2수인분당선릉역,157.0,134,40.0,14.0,61.0,39.0,2.0,0.0,0.0,1.0,0.0,0.0,21.0,33.0,0.0,1.0,0.0,노란고무줄 대치동
커피랩,서교동,서울 마포구 와우산로29길 14,2공항경의중앙홍대입구역,324.0,100,76.0,23.0,13.0,9.0,8.0,17.0,10.0,19.0,2.0,6.0,10.0,4.0,5.0,0.0,4.0,커피랩 서교동
커핀그루나루 신천점,잠실동,서울 송파구 올림픽로12길 8,2잠실새내역,228.0,140,64.0,14.0,31.0,13.0,15.0,29.0,7.0,2.0,15.0,5.0,5.0,6.0,3.0,0.0,1.0,커핀그루나루신천점 신천점 잠실동
빌리엔젤마리오아울렛,가산동,서울 금천구 디지털로9길 23 3관 6층,17가산디지털단지역,200.0,207,74.0,21.0,53.0,77.0,30.0,16.0,23.0,11.0,0.0,6.0,13.0,12.0,1.0,11.0,4.0,빌리엔젤마리오아울렛 마리오아울렛 가산동
할리스 남부터미널점,서초동,서울 서초구 서초중앙로 52 영진빌딩,3남부터미널역,156.0,204,7.0,41.0,47.0,54.0,31.0,31.0,14.0,31.0,18.0,2.0,13.0,15.0,3.0,0.0,5.0,할리스커피남부터미널 서초동
홈스테드 타워팰리스점,도곡동,서울 강남구 언주로30길 39 린스퀘어 1층,3수인분당도곡역,333.0,119,73.0,20.0,30.0,28.0,10.0,18.0,5.0,4.0,5.0,0.0,17.0,18.0,1.0,0.0,0.0,홈스테드 커피타워팰리스점 도곡동
이디야커피 신길역점,신길동,서울 영등포구 영등포로 353 엔씨티오피스텔,15신길역,203.0,172,2.0,32.0,27.0,14.0,22.0,11.0,6.0,8.0,11.0,2.0,4.0,28.0,3.0,1.0,1.0,이디야커피 신길역점 신길동
엔제리너스 여의도리버타워점,여의도동,,,,637,1.0,0.0,96.0,95.0,85.0,73.0,29.0,51.0,43.0,7.0,37.0,13.0,8.0,15.0,9.0,엔제리너스 커피여의도리버타워점 여의도동
커피빈 청담에스점,청담동,서울 강남구 압구정로 461 네이처 포엠,수인분당압구정로데오역,650.0,330,8.0,55.0,63.0,52.0,46.0,51.0,27.0,29.0,42.0,11.0,10.0,5.0,9.0,13.0,5.0,커피빈 코리아청담에스점 청담동
커피빈 강남역랭기지타워점,역삼동,서울 강남구 테헤란로4길 28 시사빌딩,2신분당강남역,232.0,244,2.0,35.0,44.0,38.0,42.0,36.0,20.0,12.0,22.0,5.0,8.0,10.0,4.0,1.0,5.0,커피빈 코리아강남역랭기지타워점 역삼동
커피빈 청담성당점,청담동,서울 강남구 삼성로 716 리임빌딩,7청담역,95.0,210,4.0,39.0,35.0,30.0,23.0,30.0,15.0,7.0,16.0,0.0,7.0,3.0,17.0,2.0,4.0,커피빈 코리아청담성당점 청담동
스타벅스 동숭로아트점,동숭동,서울 종로구 동숭길 110,4혜화역,220.0,1180,2.0,8.0,3.0,2.0,3.0,0.0,7.0,83.0,92.0,79.0,48.0,33.0,84.0,13.0,30.0,스타벅스 동숭로아트점 동숭동
오엘커피,서교동,서울 마포구 잔다리로 30-32 1층,26합정역,496.0,134,41.0,27.0,44.0,30.0,15.0,8.0,2.0,14.0,4.0,0.0,11.0,5.0,4.0,0.0,12.0,오엘커피 서교동
카페 가비애,서교동,서울 마포구 와우산로 147-1 1층과 2층,2공항경의중앙홍대입구역,395.0,398,2.0,1.0,1.0,29.0,57.0,30.0,98.0,29.0,35.0,35.0,15.0,24.0,17.0,1.0,7.0,가비애 서교동
차칸커피,신내동,서울 중랑구 신내로 225 디아뜨갤러리 150호,6봉화산역,56.0,42,11.0,16.0,16.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,9.0,1.0,0.0,1.0,차칸커피 신내동
훈고링고브레드,성산동,서울 마포구 잔다리로 130 2층,6망원역,547.0,102,48.0,41.0,15.0,0.0,18.0,6.0,5.0,21.0,3.0,9.0,18.0,4.0,4.0,1.0,7.0,훈고링고브레드 성산동
안스커피,구기동,,,,18,16.0,7.0,2.0,3.0,1.0,6.0,1.0,0.0,4.0,0.0,0.0,1.0,6.0,1.0,0.0,Anscoffee 구기동
스타벅스 남부터미널2점,서초동,서울 서초구 효령로 274,3남부터미널역,153.0,1227,2.0,0.0,0.0,2.0,5.0,7.0,71.0,47.0,69.0,33.0,34.0,31.0,13.0,10.0,10.0,스타벅스남부터미널2점 남부터미널2점 서초동
스타벅스 현대목동점,목동,서울 양천구 목동동로 257,5오목교역,186.0,1644,2.0,6.0,5.0,9.0,4.0,80.0,36.0,82.0,50.0,38.0,81.0,37.0,13.0,9.0,16.0,스타벅스 현대목동점 목동
마이시크릿메이트,창천동,서울 서대문구 연세로4길 47,2신촌역,405.0,79,26.0,13.0,11.0,47.0,5.0,14.0,3.0,9.0,0.0,1.0,10.0,1.0,3.0,3.0,4.0,마이시크릿메이트 창천동
제일커피,사당동,서울 동작구 사당로14길 19 1층,7남성역,159.0,35,27.0,7.0,5.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,제일커피 사당동
커피에반하다 신림역점,신림동,서울 관악구 남부순환로 1591 1층,2신림신림역,198.0,66,31.0,15.0,13.0,4.0,8.0,11.0,2.0,4.0,7.0,0.0,0.0,32.0,1.0,0.0,0.0,커피에반하다신림역점신림역점 신림역점 신림동
카페원더,양재동,서울 서초구 바우뫼로41길 88 건화빌딩 1층,3신분당양재역,498.0,94,49.0,22.0,29.0,7.0,13.0,11.0,2.0,14.0,4.0,4.0,8.0,10.0,0.0,1.0,8.0,CAFEWONDER카페원더 카페원더 양재동
만동제과,창천동,서울 서대문구 연희로 32,2공항경의중앙홍대입구역,466.0,1116,28.0,1.0,26.0,0.0,69.0,6.0,11.0,18.0,6.0,3.0,5.0,45.0,6.0,1.0,7.0,만동제과 창천동
박남커피,망원동,서울 마포구 포은로 69,6망원역,535.0,11,8.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,명인박남커피 박남커피 망원동
지브릭커피,진관동,,,,392,5.0,78.0,89.0,58.0,44.0,55.0,25.0,25.0,34.0,4.0,13.0,46.0,16.0,23.0,6.0,지브릭커피 진관동
토프레소 석관점,석관동,서울 성북구 화랑로32길 149,6돌곶이역,807.0,17,15.0,1.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,토프레소 석관점 석관동
커피니 종합운동장역점,잠실동,서울 송파구 잠실동 1-236,29종합운동장역,100.0,188,4.0,29.0,28.0,12.0,4.0,2.0,2.0,2.0,2.0,2.0,9.0,42.0,1.0,1.0,1.0,커피니종합운동장역점 종합운동장역점 잠실동
베이커리로컬 난곡점,신림동,,,,166,44.0,24.0,18.0,0.0,22.0,14.0,0.0,7.0,5.0,3.0,17.0,15.0,8.0,1.0,1.0,난곡제과 신림동
라온커피,행당동,서울 성동구 마조로1가길 17,25경의중앙수인분당왕십리역,183.0,115,58.0,20.0,26.0,17.0,10.0,20.0,8.0,5.0,10.0,4.0,3.0,13.0,0.0,0.0,3.0,라온커피 행당동
커피볶는집 와플에숍,화곡동,"서울 강서구 강서로16길 20 정림빌딩 1, 2층 커피볶는집 와플에숍",25까치산역,101.0,299,5.0,65.0,57.0,3.0,35.0,38.0,18.0,20.0,37.0,17.0,15.0,46.0,3.0,0.0,9.0,커피볶는집와플에숍 와플에숍 화곡동
뉴웨이브 커피 로스터스,목동,서울 양천구 오목로56길 2,5오목교역,77.0,25,20.0,8.0,8.0,1.0,4.0,1.0,1.0,5.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,뉴웨이브커피로스터스 목동
스타벅스 미아사거리역점,미아동,서울 강북구 도봉로 32,4미아사거리역,79.0,1988,0.0,8.0,7.0,7.0,5.0,3.0,83.0,57.0,4.0,45.0,63.0,47.0,20.0,10.0,17.0,스타벅스미아사거리역점 미아사거리역점 미아동
드롭 오가닉 커피,부암동,,,,84,43.0,9.0,15.0,58.0,9.0,2.0,0.0,3.0,1.0,0.0,12.0,5.0,0.0,2.0,1.0,드롭오가닉커피 부암동
언커먼그라운드,성수동2가,서울 성동구 연무장11길 15 청운재,2성수역,148.0,73,41.0,28.0,19.0,6.0,14.0,11.0,10.0,6.0,9.0,4.0,0.0,5.0,2.0,1.0,1.0,언커먼그라운드커피카페 성수동2가
스타벅스 당산점,당산동6가,서울 영등포구 양평로 64,29당산역,181.0,1158,1.0,5.0,9.0,2.0,3.0,4.0,67.0,58.0,91.0,46.0,49.0,30.0,17.0,11.0,21.0,스타벅스 당산점 당산동6가
공차 어린이대공원역점,군자동,서울 광진구 광나루로 398 공차 어린이대공원역점,7어린이대공원역,29.0,486,0.0,84.0,0.0,28.0,55.0,27.0,13.0,6.0,25.0,8.0,34.0,35.0,3.0,4.0,2.0,공차어린이대공원역점 어린이대공원역점 군자동
키미아트,평창동,,,,129,66.0,12.0,17.0,21.0,11.0,15.0,5.0,28.0,7.0,2.0,5.0,0.0,69.0,5.0,14.0,카페디키미 평창동
커피베이 서울역점,동자동,서울 용산구 한강대로 393,14공항경의중앙서울역,14.0,171,89.0,18.0,33.0,23.0,12.0,26.0,13.0,2.0,14.0,2.0,4.0,20.0,5.0,2.0,1.0,커피베이 서울역점 동자동
세컨스텝,신설동,서울 동대문구 난계로30길 36-8,12우이신설신설동역,188.0,59,39.0,19.0,11.0,5.0,3.0,7.0,0.0,9.0,1.0,0.0,4.0,6.0,0.0,1.0,1.0,세컨스텝 신설동
야카모즈로스팅,신사동,서울 강남구 논현로151길 32,3신분당신사역,599.0,11,7.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,1.0,야카모즈로스팅 신사동
카페띠아모 광희점,광희동2가,서울 중구 퇴계로 320 1층,245동대문역사문화공원역,76.0,13,4.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,카페띠아모 광희점 광희동2가
투썸플레이스 서울대역중앙점,봉천동,서울 관악구 봉천로 472 코업레지던스,2서울대입구역,99.0,474,7.0,8.0,97.0,2.0,69.0,48.0,27.0,12.0,26.0,4.0,28.0,15.0,8.0,2.0,6.0,투썸플레이스서울대역중앙점 서울대역중앙점 봉천동
커피마마 종암점,종암동,,,,80,48.0,26.0,18.0,10.0,9.0,12.0,1.0,1.0,5.0,1.0,4.0,20.0,2.0,1.0,1.0,커피마마 종암점 종암동
커피엔진,행당동,서울 성동구 고산자로 284 성동샤르망 122호,25경의중앙수인분당왕십리역,425.0,46,24.0,13.0,9.0,1.0,5.0,6.0,1.0,0.0,2.0,2.0,1.0,5.0,0.0,0.0,0.0,커피엔진 행당동
이디야커피 개봉중앙점,개봉동,서울 구로구 개봉로3길 26,7광명사거리역,889.0,83,50.0,14.0,20.0,5.0,9.0,12.0,9.0,1.0,5.0,4.0,2.0,8.0,0.0,0.0,1.0,이디야커피 개봉중앙점 개봉동
카페메르시 서초점,서초동,서울 서초구 서초대로46길 38 센트라빌딩,2서초역,330.0,34,17.0,8.0,9.0,1.0,3.0,4.0,1.0,2.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,CAFEMERCI 서초동
카페알랑가,내발산동,서울 강서구 강서로 318-8 1층,5발산역,475.0,14,12.0,5.0,3.0,6.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,알랑가 내발산동
스타벅스 중랑구청점,신내동,서울 중랑구 신내로14길 8,경의중앙경춘망우역,941.0,1451,3.0,3.0,1.0,9.0,6.0,5.0,60.0,58.0,78.0,57.0,28.0,35.0,20.0,42.0,12.0,스타벅스중랑구청점 중랑구청점 신내동
클라우드9,월계동,서울 노원구 화랑로 337-23 클라우드9,16석계역,118.0,32,1.0,12.0,0.0,0.0,9.0,0.0,0.0,11.0,1.0,2.0,3.0,2.0,3.0,1.0,0.0,클라우드9 월계동
카페애일,안암동5가,서울 성북구 고려대로24길 3-44 1층 카페애일,6안암역,25.0,44,9.0,21.0,6.0,27.0,14.0,3.0,1.0,1.0,0.0,0.0,13.0,18.0,0.0,1.0,0.0,카페애일 안암동5가
스타벅스 문래역점,문래동3가,서울 영등포구 당산로 34,2문래역,292.0,2135,4.0,8.0,6.0,5.0,2.0,0.0,4.0,2.0,8.0,4.0,77.0,71.0,66.0,43.0,36.0,스타벅스 문래역점 문래동3가
스타벅스 서강대점,신수동,서울 마포구 백범로 23,2신촌역,307.0,509,7.0,2.0,4.0,68.0,56.0,41.0,48.0,17.0,40.0,12.0,12.0,11.0,8.0,9.0,6.0,스타벅스 서강대점 신수동
티티베이커리 본점,잠원동,,,,137,12.0,21.0,6.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,28.0,11.0,0.0,0.0,0.0,티티까페 잠원동
스타벅스 봉은사로선정릉점,삼성동,서울 강남구 봉은사로 446,9수인분당선정릉역,369.0,479,8.0,7.0,68.0,60.0,93.0,48.0,24.0,21.0,27.0,13.0,11.0,7.0,16.0,2.0,5.0,스타벅스 봉은사로선정릉점 삼성동
커피베이 보라매점,봉천동,서울 관악구 봉천로 247,신림당곡역,154.0,68,27.0,27.0,8.0,8.0,7.0,6.0,2.0,0.0,2.0,6.0,1.0,2.0,0.0,2.0,0.0,커피베이 보라매점 봉천동
이디야커피 해군회관점,대방동,서울 동작구 여의대방로 194 1층,신림서울지방병무청역,221.0,179,80.0,47.0,44.0,23.0,20.0,18.0,7.0,4.0,7.0,6.0,7.0,27.0,3.0,2.0,3.0,이디야커피 해군회관점 대방동
꼼떼커피,충정로3가,서울 서대문구 충정로 29 동아일보사건물,25충정로역,141.0,66,40.0,12.0,13.0,5.0,9.0,11.0,2.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,0.0,꼼떼커피 충정로3가
카페다커피,무악동,서울 종로구 통일로14길 24-2,3독립문역,134.0,54,34.0,9.0,11.0,3.0,5.0,10.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,카페다커피 독립문점 무악동
투썸플레이스 LG광화문빌딩점,신문로2가,서울 종로구 새문안로 58 LG광화문빌딩 지하 1층 투썸플레이스,5광화문역,495.0,63,24.0,9.0,19.0,8.0,4.0,5.0,0.0,3.0,6.0,1.0,5.0,3.0,1.0,1.0,0.0,투썸플레이스 LG광화문빌딩점 신문로2가
오바도즈,서교동,서울 마포구 독막로9길 3-4,6상수역,389.0,101,54.0,37.0,36.0,51.0,22.0,10.0,2.0,29.0,2.0,8.0,10.0,5.0,2.0,1.0,8.0,오바도즈 서교동
북해빙수,반포동,서울 중구 다산로47길 28,26신당역,177.0,124,48.0,30.0,31.0,62.0,12.0,10.0,0.0,3.0,0.0,2.0,37.0,11.0,1.0,0.0,0.0,북해빙수 반포동
미칠비루 디저트 아뜰리에,일원동,서울 강남구 일원로5길 68 101호 미칠비루 디저트 아뜰리에,3대청역,702.0,14,3.0,6.0,2.0,6.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,미칠비루디져트아뜰리에 일원동
커피빈 청담카페점,청담동,서울 강남구 도산대로67길 7 파크빌딩,수인분당압구정로데오역,560.0,386,5.0,54.0,68.0,38.0,65.0,47.0,16.0,22.0,38.0,20.0,13.0,13.0,4.0,6.0,4.0,커피빈 코리아청담카페점 청담동
공차 한양대점,행당동,서울 성동구 마조로 21,25경의중앙수인분당왕십리역,293.0,289,0.0,32.0,6.0,20.0,15.0,31.0,15.0,4.0,22.0,5.0,15.0,12.0,2.0,1.0,3.0,공차한양대점 한양대점 행당동
카페알토 바이 밀도,한강로2가,서울 용산구 한강대로 100 지하 1층,4신용산역,84.0,593,8.0,60.0,60.0,0.0,0.0,43.0,17.0,70.0,25.0,21.0,56.0,20.0,4.0,37.0,11.0,카페알토바이밀도 알토바이밀도 한강로2가
스타벅스 방배다이치빌딩점,방배동,서울 서초구 방배로 114,2방배역,317.0,958,1.0,6.0,8.0,2.0,9.0,63.0,58.0,43.0,49.0,37.0,40.0,21.0,15.0,5.0,8.0,스타벅스 방배다이치빌딩점 방배동
투썸플레이스 가락시장역점,가락동,서울 송파구 중대로 113 대한전기협회,38가락시장역,200.0,271,9.0,31.0,50.0,75.0,35.0,49.0,21.0,24.0,33.0,8.0,12.0,15.0,6.0,8.0,2.0,투썸플레이스 가락시장역점 가락동
파트원나이스,천호동,서울 강동구 올림픽로89길 29,8암사역,468.0,34,22.0,12.0,7.0,15.0,5.0,4.0,2.0,2.0,3.0,0.0,16.0,1.0,0.0,0.0,4.0,파트원나이스 천호동
스타벅스 뉴코아강남점,잠원동,서울 서초구 잠원로 69,7반포역,475.0,832,5.0,5.0,7.0,92.0,77.0,77.0,13.0,31.0,21.0,13.0,31.0,14.0,7.0,66.0,10.0,스타벅스 뉴코아강남점 잠원동
캐리키즈카페 IFC몰점,여의도동,서울 영등포구 국제금융로 10 IFC몰 L2 캐리키즈카페,59여의도역,437.0,421,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,4.0,0.0,캐리키즈카페 IFC몰점 여의도동
카페 맑음,양평동4가,서울 영등포구 선유동2로 65-1,29당산역,373.0,100,54.0,23.0,20.0,8.0,11.0,7.0,2.0,7.0,3.0,1.0,4.0,28.0,2.0,1.0,1.0,Cafe맑음 양평동4가
더스노우 논현점,논현동,서울 강남구 강남대로118길 40,9신분당신논현역,403.0,94,27.0,25.0,23.0,60.0,14.0,3.0,0.0,11.0,3.0,0.0,26.0,0.0,1.0,1.0,4.0,카페더스노우 논현동
카페129-11,연희동,,,,141,58.0,31.0,31.0,26.0,24.0,21.0,28.0,24.0,18.0,6.0,7.0,2.0,11.0,0.0,6.0,카페129-11 129-11 연희동
ohooCafe,누하동,서울 종로구 자하문로9길 33,3경복궁역,471.0,128,55.0,17.0,32.0,9.0,15.0,32.0,6.0,20.0,23.0,5.0,5.0,4.0,5.0,1.0,6.0,오후카페 누하동
최가커피 자양점,자양동,서울 광진구 자양로13가길 18 1층,2구의역,500.0,44,32.0,8.0,7.0,12.0,4.0,5.0,2.0,4.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,최가커피 자양동
이디야커피 등촌역점,등촌동,서울 강서구 등촌로 217 희망찬교회,9등촌역,198.0,116,52.0,30.0,33.0,26.0,18.0,10.0,4.0,3.0,3.0,1.0,2.0,17.0,1.0,0.0,2.0,이디야커피 등촌역점 등촌동
쉐라톤 그랜드 인천 호텔 로비라운지 커넥션,장충동2가,인천 연수구 컨벤시아대로 153 1층,인천1인천대입구역,805.0,75,13.0,33.0,20.0,46.0,12.0,13.0,2.0,9.0,10.0,11.0,17.0,14.0,1.0,19.0,6.0,로비라운지&델리 장충동2가
꼬메노,화양동,서울 광진구 군자로7길 29 1층 카페꼬메노,7어린이대공원역,541.0,95,62.0,41.0,34.0,43.0,12.0,22.0,13.0,47.0,3.0,0.0,23.0,7.0,2.0,0.0,12.0,꼬메노 화양동
카페그리다,정릉동,서울 성북구 솔샘로 19 이앤리 1층,우이신설북한산보국문역,513.0,79,23.0,36.0,32.0,0.0,36.0,9.0,3.0,13.0,4.0,0.0,17.0,6.0,1.0,0.0,6.0,카페그리다 정릉동
트레비커피로스터스,군자동,서울 광진구 군자로 63,7어린이대공원역,456.0,73,51.0,16.0,16.0,19.0,12.0,9.0,7.0,14.0,1.0,3.0,5.0,4.0,3.0,0.0,3.0,카페 트레비 군자동
스타벅스 청담점,청담동,서울 강남구 도산대로 532,7청담역,745.0,700,5.0,7.0,4.0,7.0,0.0,57.0,37.0,30.0,55.0,30.0,30.0,19.0,18.0,2.0,7.0,스타벅스 청담점 청담동
탐앤탐스 난곡사거리점,신림동,서울 관악구 남부순환로 1474 상원빌딩,2신대방역,702.0,412,5.0,88.0,70.0,74.0,60.0,56.0,38.0,25.0,42.0,17.0,20.0,17.0,9.0,7.0,4.0,탐앤탐스난곡사거리점 난곡사거리점 신림동
우리집젤라또,방배동,서울 서초구 동광로 25 예옥빌,47이수역,552.0,26,1.0,12.0,0.0,15.0,7.0,0.0,0.0,2.0,1.0,0.0,14.0,2.0,1.0,0.0,0.0,우리집젤라또 방배동
카페 낢진 고대점,안암동5가,서울 성북구 안암로 145 고려대학교 중앙광장 지하1층,6고려대역,326.0,42,22.0,8.0,10.0,3.0,11.0,4.0,5.0,6.0,2.0,0.0,4.0,9.0,1.0,4.0,0.0,카페낢진 고대점 안암동5가
빽다방 공덕새창로점,도화동,서울 마포구 새창로 15-1,56공항경의중앙공덕역,111.0,184,92.0,33.0,33.0,19.0,6.0,4.0,1.0,5.0,2.0,1.0,10.0,56.0,1.0,1.0,1.0,빽다방공덕새창로점 공덕새창로점 도화동
스타벅스 구로디지털로점,구로동,서울 구로구 디지털로33길 11,2구로디지털단지역,578.0,1426,2.0,1.0,0.0,8.0,6.0,2.0,71.0,89.0,88.0,33.0,48.0,39.0,26.0,30.0,22.0,스타벅스구로디지털로점 구로디지털로점 구로동
투썸플레이스 CGV수유점,수유동,서울 강북구 도봉로 399,4수유역,555.0,61,37.0,8.0,11.0,7.0,14.0,5.0,4.0,3.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,투썸플레이스 CGV수유 수유동
커피빈 반포엘루체점,반포동,서울 서초구 신반포로 23 엘루체,9구반포역,15.0,182,97.0,46.0,50.0,21.0,22.0,18.0,1.0,2.0,6.0,1.0,3.0,8.0,0.0,2.0,0.0,커피빈 코리아반포엘루체점 반포동
테라로사 광화문점,중학동,서울 종로구 종로1길 50 더케이트윈타워 B동 1층,5광화문역,456.0,785,5.0,1.0,5.0,2.0,4.0,9.0,54.0,3.0,66.0,43.0,51.0,8.0,28.0,29.0,27.0,테라로사커피 광화문점 중학동
보사노바 커피로스터스 문래점,문래동3가,서울 영등포구 영등포로20길 22-4,2문래역,300.0,391,5.0,44.0,77.0,7.0,27.0,35.0,46.0,74.0,26.0,14.0,24.0,18.0,6.0,0.0,16.0,보사노바커피로스터스 문래점 문래동3가
더치앤빈 문정테라타워2점,문정동,서울 송파구 송파대로 201,8문정역,358.0,82,57.0,19.0,20.0,8.0,4.0,6.0,0.0,3.0,0.0,0.0,5.0,9.0,1.0,1.0,0.0,더치앤빈 문정점 문정동
씨크스페셜티커피,신사동,,,,193,9.0,65.0,63.0,80.0,56.0,36.0,14.0,41.0,11.0,13.0,44.0,7.0,5.0,4.0,15.0,이가커피 신사동
빽다방 서초우성점,서초동,서울 서초구 사임당로 181,2신분당강남역,297.0,394,7.0,42.0,73.0,21.0,13.0,4.0,3.0,3.0,0.0,0.0,12.0,4.0,2.0,0.0,2.0,빽다방서초우성점 서초우성점 서초동
고센인코퍼레이티드 청담점,청담동,서울 강남구 선릉로158길 18,수인분당압구정로데오역,227.0,177,42.0,16.0,31.0,43.0,14.0,36.0,3.0,57.0,25.0,30.0,36.0,10.0,7.0,24.0,16.0,고센클래식 청담동
스타벅스 코엑스몰점,삼성동,서울 강남구 봉은사로 524,9봉은사역,75.0,805,1.0,6.0,9.0,99.0,6.0,82.0,34.0,36.0,90.0,27.0,21.0,21.0,6.0,30.0,8.0,스타벅스 코엑스몰점 삼성동
공차 2001아울렛 천호점,천호동,서울 강동구 구천면로 189 2001아울렛 1층,58천호역,372.0,26,0.0,5.0,14.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,공차 NC천호점 천호동
이디야커피 도림사거리점,신길동,,,,153,82.0,28.0,29.0,16.0,16.0,18.0,15.0,4.0,21.0,9.0,4.0,12.0,4.0,0.0,1.0,이디야커피 도림사거리 신길동
아티제 동부이촌2점,이촌동,서울 용산구 이촌로64길 6,4경의중앙이촌역,434.0,449,0.0,8.0,72.0,0.0,73.0,66.0,16.0,18.0,52.0,14.0,37.0,24.0,4.0,6.0,4.0,아티제 동부이촌점 이촌동
솔루나커피,사당동,,,,17,7.0,4.0,1.0,0.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,6.0,4.0,1.0,0.0,솔루나카페 솔루나 사당동
CAFE2892,여의도동,서울 영등포구 국제금융로7길 22 대교B상가 117호,5여의나루역,518.0,29,17.0,9.0,8.0,2.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,cafe2892 여의도동
까페라리 방이점,방이동,서울 송파구 위례성대로 134 한스빌딩,5방이역,421.0,139,68.0,24.0,18.0,88.0,21.0,18.0,0.0,35.0,22.0,7.0,13.0,4.0,7.0,8.0,2.0,카페라리방이점 방이점 방이동
애니팡팡,화곡동,서울 강서구 곰달래로 195 풍한빌딩,25까치산역,767.0,26,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,애니팡팡 화곡동
데어유고,미아동,서울 강북구 오현로6길 77 1층 데어유고,4미아사거리역,312.0,127,5.0,59.0,26.0,63.0,29.0,20.0,20.0,45.0,11.0,2.0,13.0,7.0,2.0,1.0,13.0,삼양커피숍 미아동
커피주네 방배점,방배동,서울 서초구 사평대로2길 10,9구반포역,574.0,23,15.0,5.0,6.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,커피주네 방배동
모짜르트502,서초동,,,,729,4.0,90.0,5.0,5.0,54.0,1.0,6.0,6.0,27.0,23.0,3.0,24.0,0.0,51.0,83.0,모짜르트카페 서초동
스타벅스 종로관수점,관수동,서울 종로구 삼일대로20길 13,135종로3가역,291.0,898,4.0,1.0,2.0,1.0,87.0,83.0,1.0,34.0,48.0,39.0,26.0,22.0,20.0,2.0,7.0,스타벅스종로관수점 종로관수점 관수동
카페아드리아,흑석동,서울 동작구 서달로 142,9흑석역,401.0,34,21.0,8.0,5.0,1.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,카페아드리아 흑석동
스타벅스 논현힐탑점,논현동,서울 강남구 논현로 648,7학동역,256.0,719,5.0,1.0,5.0,93.0,4.0,66.0,39.0,50.0,43.0,23.0,27.0,17.0,8.0,11.0,7.0,스타벅스논현힐탑 논현동
카페다이아몬드,염리동,,,,206,0.0,32.0,36.0,25.0,16.0,27.0,4.0,17.0,9.0,13.0,3.0,8.0,76.0,29.0,15.0,카페다이아몬드 다이아몬드 염리동
할리스 목동예술인회관점,목동,"서울 양천구 목동서로 225 1층(목동, 예술인회관)",5오목교역,308.0,100,52.0,12.0,18.0,13.0,13.0,21.0,16.0,11.0,16.0,2.0,2.0,4.0,2.0,8.0,2.0,할리스커피 목동예술인회관점 목동
더블하모니,서교동,서울 마포구 동교로 99,6망원역,342.0,54,40.0,12.0,15.0,16.0,5.0,8.0,1.0,18.0,1.0,3.0,17.0,4.0,1.0,0.0,2.0,더블하모니 서교동
