name,search_name,address,road_address,near_station,station_distance,total_review,"""커피가 맛있어요""","""친절해요""","""음료가 맛있어요""","""디저트가 맛있어요""","""매장이 청결해요""","""대화하기 좋아요""","""집중하기 좋아요""","""인테리어가 멋져요""","""좌석이 편해요""","""화장실이 깨끗해요""","""특별한 메뉴가 있어요""","""가성비가 좋아요""","""뷰가 좋아요""","""주차하기 편해요""","""사진이 잘 나와요""",same
버블베어,버블베어,방화동,서울 강서구 금낭화로 167 방화8단지개화아파트,5방화역,427m,18,7.0,5.0,5.0,6.0,5.0,,,,1.0,2.0,2.0,,,1.0,,True
커피빈코리아낙성대역점 코리아낙성대역점,커피빈 낙성대역점,봉천동,"서울 관악구 남부순환로 1909 1,2층",2낙성대역,119m,284,7.0,56.0,74.0,37.0,40.0,21.0,48.0,8.0,33.0,2.0,2.0,8.0,14.0,,1.0,False
노란고무줄,노란꼬무줄 선릉본점,대치동,서울 강남구 선릉로 424 1층5호 노란꼬무줄,2수인분당선릉역,157m,134,40.0,14.0,61.0,39.0,2.0,,,1.0,,,21.0,33.0,,1.0,,False
커피랩,커피랩,서교동,서울 마포구 와우산로29길 14,2공항경의중앙홍대입구역,324m,100,76.0,23.0,13.0,9.0,8.0,17.0,10.0,19.0,2.0,6.0,10.0,4.0,5.0,,4.0,True
커핀그루나루신천점 신천점,커핀그루나루 신천점,잠실동,서울 송파구 올림픽로12길 8,2잠실새내역,228m,140,64.0,14.0,31.0,13.0,15.0,29.0,7.0,2.0,15.0,5.0,5.0,6.0,3.0,,1.0,False
빌리엔젤마리오아울렛 마리오아울렛,빌리엔젤마리오아울렛,가산동,서울 금천구 디지털로9길 23 3관 6층,17가산디지털단지역,200m,207,74.0,21.0,53.0,77.0,30.0,16.0,23.0,11.0,,6.0,13.0,12.0,1.0,11.0,4.0,False
할리스커피남부터미널,할리스 남부터미널점,서초동,서울 서초구 서초중앙로 52 영진빌딩,3남부터미널역,156m,204,7.0,41.0,47.0,54.0,31.0,31.0,14.0,31.0,18.0,2.0,13.0,15.0,3.0,,5.0,False
홈스테드 커피타워팰리스점,홈스테드 타워팰리스점,도곡동,서울 강남구 언주로30길 39 린스퀘어 1층,3수인분당도곡역,333m,119,73.0,20.0,30.0,28.0,10.0,18.0,5.0,4.0,5.0,,17.0,18.0,1.0,,,False
이디야커피 신길역점,이디야커피 신길역점,신길동,서울 영등포구 영등포로 353 엔씨티오피스텔,15신길역,203m,172,2.0,32.0,27.0,14.0,22.0,11.0,6.0,8.0,11.0,2.0,4.0,28.0,3.0,1.0,1.0,True
엔제리너스 커피여의도리버타워점,엔제리너스 여의도리버타워점,여의도동,,,,637,1.0,0.0,96.0,95.0,85.0,73.0,29.0,51.0,43.0,7.0,37.0,13.0,8.0,15.0,9.0,False
커피빈 코리아청담에스점,커피빈 청담에스점,청담동,서울 강남구 압구정로 461 네이처 포엠,수인분당압구정로데오역,650m,330,8.0,55.0,63.0,52.0,46.0,51.0,27.0,29.0,42.0,11.0,10.0,5.0,9.0,13.0,5.0,False
커피빈 코리아강남역랭기지타워점,커피빈 강남역랭기지타워점,역삼동,서울 강남구 테헤란로4길 28 시사빌딩,2신분당강남역,232m,244,2.0,35.0,44.0,38.0,42.0,36.0,20.0,12.0,22.0,5.0,8.0,10.0,4.0,1.0,5.0,False
커피빈 코리아청담성당점,커피빈 청담성당점,청담동,서울 강남구 삼성로 716 리임빌딩,7청담역,95m,210,4.0,39.0,35.0,30.0,23.0,30.0,15.0,7.0,16.0,,7.0,3.0,17.0,2.0,4.0,False
스타벅스 동숭로아트점,스타벅스 동숭로아트점,동숭동,서울 종로구 동숭길 110,4혜화역,220m,1180,2.0,8.0,3.0,2.0,3.0,0.0,7.0,83.0,92.0,79.0,48.0,33.0,84.0,13.0,30.0,True
쎄븐스퀘어,더 플라자 세븐스퀘어,태평로2가,서울 중구 소공로 119 더플라자 2층,12시청역,28m,437,,4.0,,,2.0,,,58.0,,31.0,73.0,71.0,0.0,36.0,,False
오엘커피,오엘커피,서교동,서울 마포구 잔다리로 30-32 1층,26합정역,496m,134,41.0,27.0,44.0,30.0,15.0,8.0,2.0,14.0,4.0,,11.0,5.0,4.0,,12.0,True
B.B.Q카페은평뉴타운 구파발점,BBQ치킨 은평뉴타운구파발점,진관동,서울 은평구 진관1로 55 은평뉴타운 마고정 동부센트레빌 301동 B104호,3구파발역,849m,135,,24.0,,,4.0,,,3.0,,1.0,9.0,7.0,5.0,10.0,,False
가비애,카페 가비애,서교동,서울 마포구 와우산로 147-1 1층과 2층,2공항경의중앙홍대입구역,395m,398,2.0,1.0,1.0,29.0,57.0,30.0,98.0,29.0,35.0,35.0,15.0,24.0,17.0,1.0,7.0,False
